Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\NeoPeak\Project Outputs for NeoPeak\Pick Place for neoPeak.csv

========================================================================================================================
File Design Information:

Date:       12/01/26
Time:       14:39
Revision:   4adcb2c068ea62e9cb0f3994ec0745eda59b13a9
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"ANT1","AN2051-245","TopLayer","ANTC5020X127N","66.000","1199.000","270"
"R12","5.1k","TopLayer","R0402_L","781.000","329.000","270"
"USB1","Type-C","TopLayer","Type-C-TOP","629.921","147.638","270"
"U3","DET402","TopLayer","DET402","76.000","247.000","90"
"U2","MCP73831T","TopLayer","SOT23-5","896.000","144.945","90"
"U1","CP2102","TopLayer","QFN-28","629.922","496.064","90"
"TF1","TF","TopLayer","TF-SOCKET","801.015","977.173","0"
"SW1","Rotary Encoder","TopLayer","SIQ-02FVS3","253.378","641.732","90"
"S1","LCD-240x240","BottomLayer","LCD-240x240-FlUSH-154","629.896","360.236","180"
"R34","10k","TopLayer","R0402_L","80.000","390.253","90"
"R33","10k","TopLayer","R0402_L","36.000","390.253","90"
"R32","100","TopLayer","R0402_L","124.000","390.000","270"
"R31","10k","TopLayer","R0402_L","166.000","167.000","270"
"R30","0(NC)","TopLayer","R0402_L","195.000","233.000","180"
"R29","10k","TopLayer","R0402_L","502.000","910.000","180"
"R28","20k","TopLayer","R0402_L","1078.000","507.000","90"
"R27","10k","TopLayer","R0402_L","502.000","864.000","180"
"R26","10k","TopLayer","R0402_L","406.000","128.732","90"
"R25","0","TopLayer","R0402_L","166.000","89.268","270"
"R24","10k","TopLayer","R0402_L","172.000","924.747","270"
"R23","10k","TopLayer","R0402_L","345.000","233.000","0"
"R22","10k","TopLayer","R0402_L","270.000","233.000","180"
"R21","10k","TopLayer","R0402_L","519.000","803.000","90"
"R20","20k","TopLayer","R0402_L","1079.000","581.732","270"
"R19","1k","TopLayer","R0402_L","864.000","30.000","180"
"R18","2k","TopLayer","R0402_L","900.732","272.000","0"
"R17","100k","TopLayer","R0402_L","528.000","322.732","270"
"R16","100k","TopLayer","R0402_L","733.000","338.000","270"
"R15","10k","TopLayer","R0402_L","335.200","925.000","90"
"R14","5.1k","TopLayer","R0402_L","406.000","204.000","270"
"R13","10","TopLayer","R0402_L","690.000","337.732","270"
"R11","12k","TopLayer","R0402_L","129.000","895.268","90"
"R10","10k","TopLayer","R0402_L","404.000","1304.000","180"
"R9","10k","TopLayer","R0402_L","432.000","925.000","90"
"R8","10k","TopLayer","R0402_L","129.000","973.126","90"
"R7","10k","TopLayer","R0402_L","286.800","925.000","90"
"R6","12k","TopLayer","R0402_L","40.000","973.126","90"
"R5","10k","TopLayer","R0402_L","383.600","925.000","90"
"R4","10k","TopLayer","R0402_L","238.400","925.000","90"
"R3","200","TopLayer","R0402_L","528.000","1243.000","0"
"R2","0","TopLayer","R0402_L","528.000","1106.000","180"
"R1","10k","TopLayer","R0402_L","781.000","413.268","90"
"Q6","AO3400A","TopLayer","SOT23-3","381.000","332.000","180"
"Q5","AO3400A","TopLayer","SOT23-3","221.000","331.000","180"
"Q4","AO3400A","TopLayer","SOT23-3","1169.000","576.000","270"
"Q3","AO3401A","TopLayer","SOT23-3","979.000","541.000","180"
"Q2","AO3400A","TopLayer","SOT23-3","829.000","576.000","270"
"Q1","BC847BVC-7","TopLayer","SOT563-6","59.001","867.000","180"
"Motor1","HDR-1X2","TopLayer","HDR1.27-LI-2P","75.000","74.000","90"
"LED1","G","TopLayer","LED0402_G","952.232","30.000","180"
"JP1","CON-6P","TopLayer","FPC0.5-WT-6P","1057.847","152.000","90"
"IC3","ME6211A33M3G-N","TopLayer","SOT95P280X145-3N","887.000","370.000","180"
"IC2","ICM-42688-P","TopLayer","IIM42352","295.276","137.795","0"
"IC1","ESP32-PICO-V3-02-ES","TopLayer","ESP32PICOV302ES","318.898","1122.047","0"
"D3","1N5819WS","TopLayer","SOD-323","1170.000","470.000","0"
"D2","1N5819WS","TopLayer","SOD-323","518.000","1009.000","90"
"D1","1N5819WS","TopLayer","SOD-323","832.000","474.000","180"
"C15","0.1uF","TopLayer","C0402_L","286.999","37.000","0"
"C14","0.1uF","TopLayer","C0402_L","406.000","53.283","270"
"C13","1uF","TopLayer","C0402_L","823.999","272.000","0"
"C12","0.1uF","TopLayer","C0402_L","991.000","421.284","270"
"C11","10uF","TopLayer","C0402_L","1077.000","421.001","270"
"C10","1uF","TopLayer","C0402_L","1034.000","421.001","270"
"C9","4.7uF","TopLayer","C0402_L","976.999","272.000","0"
"C8","0.1uF","TopLayer","C0402_L","484.000","322.717","270"
"C7","0.1uF","TopLayer","C0402_L","1034.000","344.999","90"
"C6","10uF","TopLayer","C0402_L","1077.000","344.999","90"
"C5","4.7uF","TopLayer","C0402_L","991.000","344.999","90"
"C4","0.1uF","TopLayer","C0402_L","484.000","398.001","270"
"C3","1uF","TopLayer","C0402_L","84.500","973.001","270"
"C2","0.1uF","TopLayer","C0402_L","527.872","1197.000","0"
"C1","10uF","TopLayer","C0402_L","527.872","1151.000","0"
